,Artista,Nombre,Nacionality
248,Carly Simon & James Taylor,Carly Simon,US
249,Redbone,Redbone,US
250,Lynyrd Skynyrd,Lynyrd Skynyrd,US
251,Bad Company,Bad Company,GB
252,ABBA,ABBA,SE
253,Steve Miller Band,Steve Miller Band,US
254,The First Class,First Class,GB
255,Kool & the Gang,Kool & the Gang,US
256,Mocedades,Mocedades,ES
257,Paul McCartney and Wings,Wings,GB
258,David Essex,David Essex,GB
259,Blue Swede,Blue Swede,SE
260,The Hues Corporation,The Hues Corporation,US
261,Joni Mitchell,Joni Mitchell,CA
262,Eric Clapton,Eric Clapton,GB
263,Byron MacGregor,Byron MacGregor,
264,Bobby Womack,Bobby Womack,US
265,Terry Jacks,Terry Pratchett,
266,Charlie Rich,Charlie Rich,US
267,Brownsville Station,Brownsville Station,US
268,William DeVaughn,William Dufris,US
269,Todd Rundgren,Todd Rundgren,US
270,Rufus & Chaka Khan,Rufus,US
271,Andy Kim,Andy Williams,US
272,Blue Magic,Blue Magic,US
273,George McCrae,George Frideric Handel,GB
274,Marvin Hamlisch,Marvin Hamlisch,US
275,John Lennon with the Plastic Ono Band,John Lennon,GB
276,Johnny Bristol,Johnny Cash,US
277,Sister Janet Mead,Sister Janet Mead,AU
278,Maria Muldaur,Maria Muldaur,US
279,Olivia Newton-John,Olivia Newton‐John,AU
280,Paper Lace,Paper Lace,GB
281,Mike Oldfield,Mike Oldfield,GB
282,Al Wilson,Al Green,US
283,Dave Loggins,Kenny Loggins,US
284,MFSB featuring the Three Degrees,The Three Degrees,US
285,Dionne Warwick & The Spinners,Dionne Warwick,US
286,Bo Donaldson and The Heywoods,Bo Donaldson and the Heywoods,US
287,Jim Stafford,Jim Reeves,US
288,B.T. Express,BT,US
289,The Righteous Brothers,The Righteous Brothers,US
290,Love Unlimited Orchestra,Love Unlimited Orchestra,US
291,The Guess Who featuring Wolfman Jack,The Guess Who,CA
292,Bobby Vinton,Bobby Vinton,US
293,Donny and Marie Osmond,Donny & Marie Osmond,US
294,Paul Anka with Odia Coates,Paul Anka,CA
295,the Ritchie Family,The Ritchie Family,US
296,Pilot,Pilot,GB
297,Natalie Cole,Natalie Cole,US
298,Neil Sedaka,Neil Sedaka,US
299,Grand Funk,Grand Funk Railroad,US
300,Michael Martin Murphey,Michael Martin Murphey,US
301,Carl Douglas,Douglas Adams,GB
302,Ace,Ace of Base,SE
303,Minnie Riperton,Minnie Riperton,US
304,Labelle,LaBelle,US
305,Barry Manilow,Barry Manilow,US
306,Hot Chocolate,Hot Chocolate,GB
307,Glen Campbell,Glen Campbell,US
308,Morris Albert,Albert King,US
309,"Earth, Wind & Fire","Earth, Wind & Fire",US
310,Captain & Tennille,Captain & Tennille,US
311,Frankie Valli,Frankie Valli,US
312,David Bowie,David Bowie,
313,Jefferson Starship,Jefferson Starship,US
314,Linda Ronstadt,Linda Ronstadt,US
315,KC and the Sunshine Band,KC and the Sunshine Band,US
316,Ozark Mountain Daredevils,The Ozark Mountain Daredevils,US
317,Average White Band,Average White Band,GB
318,Four Seasons,The Four Seasons,US
319,Janis Ian,Janis Ian,US
320,Freddy Fender,Freddy Fender,US
