,Artist
554,Joe Simon
555,Electric Light Orchestra
556,Carol Douglas
557,Barry White
558,Harry Chapin
559,Jessi Colter
560,Sugarloaf
561,War
562,Aerosmith
563,Eric Carmen
564,"Earth, Wind & Fire"
565,Hall & Oates
566,Bay City Rollers
567,Chicago
568,Blue Oyster Cult
569,Fleetwood Mac
570,The Four Seasons
571,The Miracles
572,Hot Chocolate
573,Wild Cherry
574,Queen
575,Jefferson Starship
576,Bee Gees
577,Commodores
578,Steve Miller Band
579,Paul Simon
580,The Bellamy Brothers
581,Hall & Oates
582,Rufus featuring Chaka Khan
583,Fleetwood Mac
584,Queen
585,Bay City Rollers
586,Nazareth
587,Peter Frampton
588,Eagles
589,Electric Light Orchestra
590,Steve Miller Band
591,Wings
592,Andrea True Connection
593,Boz Scaggs
594,David Bowie
595,Maxine Nightingale
596,Orleans
597,Elvin Bishop
598,Starland Vocal Band
599,The Manhattans
600,Johnnie Taylor
601,C. W. McCall
602,Heart
603,Bee Gees
604,Peter Frampton
605,The O’Jays
606,Gary Wright
607,Ohio Players
608,Bee Gees
609,"Earth, Wind & Fire"
610,Rhythm Heritage
611,Sweet
612,Harold Melvin & the Blue Notes
613,Wings
614,Wing and a Prayer Fife and Drum Corps
615,Dr. Hook
616,KC and the Sunshine Band
617,Dorothy Moore
618,John Sebastian
619,Neil Sedaka
620,Barry Manilow
621,Gary Wright
622,Pratt and McClain
623,Bay City Rollers
624,Donna Summer
625,Walter Murphy & The Big Apple Band
626,Diana Ross
627,Seals and Crofts (featuring Carolyn Willis)
628,David Ruffin
629,Silver Convention
630,The Sylvers
631,Captain & Tennille
632,Cliff Richard
633,Dr. Hook
634,Paul Anka
635,Starbuck
636,Commodores
637,Henry Gross
638,Neil Diamond
639,George Benson
640,Vicki Sue Robinson
641,Captain & Tennille
642,Barry Manilow
643,Glen Campbell
644,Silver Convention
645,Linda Ronstadt
646,Donny & Marie Osmond
647,Rick Dees & His Cast of Idiots
648,Captain & Tennille
649,Elton John & Kiki Dee
650,Lou Rawls
651,KC and the Sunshine Band
652,England Dan & John Ford Coley
653,The Brothers Johnson
654,"Barry DeVorzon and Perry Botkin, Jr."
655,The Staple Singers
656,Diana Ross
657,The Beach Boys
658,Gordon Lightfoot
659,Fleetwood Mac
660,ABBA
661,Daryl Hall & John Oates
662,Bee Gees
663,Eagles
664,Commodores
665,Boston
666,Fleetwood Mac
667,Andrew Gold
668,Donna Summer
669,Kansas
670,Alice Cooper
671,The Floaters
672,Aerosmith
673,Heart
674,Bob Seger & The Silver Bullet Band
675,Eagles
676,Fleetwood Mac
677,Glen Campbell
678,Jimmy Buffett
679,Stevie Wonder
680,Atlanta Rhythm Section
681,Eagles
682,Electric Light Orchestra
683,Stevie Wonder
684,Foreigner
685,Lord David Dundas
686,Queen
687,Peter McCann
688,Andy Gibb
689,Commodores
690,Elton John
691,Steve Miller Band
692,Steve Miller Band
693,The Spinners
694,10cc
695,Bill Conti
696,Burton Cummings
697,Leo Sayer
698,Marvin Gaye
699,Manfred Mann
700,Electric Light Orchestra
701,Paul McCartney & Wings
702,The Jacksons
703,Boz Scaggs
704,Bread
705,Kenny Rogers
706,The Brothers Johnson
707,Peter Frampton
708,Barbra Streisand
709,"Crosby, Stills & Nash"
710,Heatwave
711,Hot
712,James Taylor
713,The Marshall Tucker Band
714,Al Stewart
715,Debby Boone
716,Leo Sayer
717,Mary MacGregor
718,Shaun Cassidy
719,Thelma Houston
720,Bee Gees
721,Chicago
722,KC and the Sunshine Band
723,Pablo Cruise
724,Rose Royce
725,Carly Simon
726,Sanford-Townsend Band
727,Rose Royce
728,Brick
729,Firefall
730,Foreigner
731,Barry Manilow
732,KC and the Sunshine Band
733,William Bell
734,Alice Cooper
735,Barry Manilow
736,Rita Coolidge
737,Barbra Streisand
738,Jennifer Warnes
739,Engelbert Humperdinck
740,Marilyn McCoo & Billy Davis Jr.
741,Alan O’Day
742,Barry White
743,Kenny Nolan
744,Shaun Cassidy
745,Bay City Rollers
746,Johnny Rivers
747,The Sylvers
748,Paul Nicholas
749,David Soul
750,Crystal Gayle
751,Climax Blues Band
752,Joe Tex
753,Natalie Cole
754,Rod Stewart
755,Billy Joel
756,Parliament
757,Carly Simon
758,Kansas
759,Evelyn “Champagne” King
760,Bee Gees
761,The Rolling Stones
762,ABBA
763,Bee Gees
764,Donna Summer
765,Gerry Rafferty
766,Jefferson Starship
767,The Trammps
768,Olivia Newton-John
769,Rick James
770,Barry Manilow
771,Gerry Rafferty
772,Samantha Sang
