Artista,Nacionality
Ambrosia,US
David Gates,US
Dolly Parton,US
Michael Johnson,US
The Who,GB
Dan Hill,CA
Foxy,US
Peter Brown,US
Raydio,US
John Travolta,US
Olivia Newton-John,AU
Player,US
Meat Loaf,US
Paul Davis,US
Eddie Money,US
Exile,US
A Taste of Honey,US
Chuck Mangione,US
Kenny Loggins,US
Stevie Nicks,US
Jay Ferguson,US
Walter Egan,US
Alicia Bridges,US
Bob Welch,US
Chris Rea,GB
Nick Gilder,CA
Randy Newman,US
L.T.D.,US
Chic,US
Johnny Mathis,US
Deniece Williams,US
High Inergy,US
Joe Walsh,US
Toby Beau,US
Bonnie Tyler,GB
Suzi Quatro,US
Chris Norman,GB
Toto,US
KISS,US
Herb Alpert,US
John Stewart,US
The Emotions,US
Bobby Caldwell,US
Donna Summer,US
Brooklyn Dreams,US
KC & the Sunshine Band,US
Nicolette Larson,US
Patrick Hernandez,FR
Ian Matthews,GB
Supertramp,GB
The Knack,US
Sister Sledge,US
The Charlie Daniels Band,US
Dire Straits,GB
Cheap Trick,US
Cheryl Lynn,US
Blondie,US
Randy VanWarmer,US
Village People,US
Anita Ward,US
Journey,US
Robert Palmer,GB
Peaches & Herb,US
Amii Stewart,US
Gino Vannelli,CA
Ace Frehley,US
M,GB
Neil Diamond,US
Barbra Streisand,US
Nick Lowe,GB
David Naughton,US
Rex Smith,US
Frank Mills,CA
Bonnie Pointer,US
McFadden & Whitehead,US
Rickie Lee Jones,US
GQ,US
