,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
52,ball of confusion (that’s what the world is today),The Temptations,4:06,4,0.529,0.735,5,-8.153,1,0.0896,0.238,0.0,0.102,0.862,79.002,45,1970,50,9,ball  confusion    world  today,ENGLISH
53,patches,Clarence Carter,3:13,4,0.639,0.544,4,-12.843,1,0.141,0.617,0.0,0.479,0.793,80.844,44,1970,7,1,patches,ENGLISH
54,midnight cowboy,Ferrante and Teicher,2:57,4,0.58,0.636,5,-6.401,1,0.0252,0.214,0.001,0.108,0.715,92.476,44,1970,15,2,midnight cowboy,ENGLISH
55,band of gold,Freda Payne,3:32,4,0.608,0.478,11,-9.351,1,0.0369,0.569,0.00207,0.118,0.302,130.989,43,1970,12,3,band  gold,ENGLISH
56,na na hey hey kiss him goodbye,Steam,4:07,4,0.637,0.916,7,-6.95,1,0.0458,0.0139,2.28e-05,0.21,0.506,114.987,42,1970,30,7,na na hey hey kiss him goodbye,ENGLISH
57,love on a two-way street,The Moments,3:37,4,0.472,0.339,2,-10.969,1,0.0392,0.61,0.0,0.289,0.242,141.357,42,1970,24,5,love   two-way street,ENGLISH
58,"tighter, tighter",Alive N Kickin’,2:48,4,0.407,0.826,8,-10.014,0,0.053,0.0409,0.00014,0.0486,0.794,162.032,41,1970,16,2,"tighter, tighter",ENGLISH
59,give me just a little more time,Chairmen of the Board,2:42,4,0.576,0.658,0,-5.231,1,0.0344,0.0613,0.0,0.0691,0.629,63.059,41,1970,31,7,give  just  little more time,ENGLISH
60,turn back the hands of time,Tyrone Davis,2:58,4,0.563,0.655,6,-6.399,1,0.032,0.168,0.0,0.0484,0.866,117.794,41,1970,27,6,turn back  hands  time,ENGLISH
61,everything is beautiful,Ray Stevens,3:32,4,0.39,0.376,5,-15.205,1,0.0366,0.548,0.0,0.212,0.739,108.895,39,1970,23,3,everything  beautiful,ENGLISH
62,we’ve only just begun,The Carpenters,3:59,4,0.374,0.452,6,-5.854,0,0.0308,0.677,1.02e-05,0.284,0.157,84.47,39,1970,21,4, only just begun,ENGLISH
63,don’t play that song (you lied),Aretha Franklin with the Dixie Flyers,2:54,4,0.699,0.454,1,-11.062,0,0.0505,0.74,0.0,0.166,0.692,110.566,37,1970,31,6, play  song you lied,ENGLISH
64,i just can’t help believing,B.J. Thomas,2:57,4,0.554,0.464,5,-8.529,1,0.0266,0.483,0.0,0.174,0.537,134.475,37,1970,27,5, just  help believing,ENGLISH
65,ma belle amie,Tee Set,3:14,4,0.419,0.492,7,-11.18,1,0.0448,0.11,0.000681,0.168,0.706,86.693,37,1970,13,3,ma belle amie,FRENCH
66,up the ladder to the roof,The Supremes,3:11,4,0.533,0.567,10,-13.743,1,0.0539,0.549,2.61e-06,0.177,0.658,120.157,37,1970,25,6,up  ladder   roof,ENGLISH
67,lay down (candles in the rain),Melanie,7:39,4,0.317,0.866,7,-4.896,1,0.0703,0.426,0.000445,0.0792,0.603,94.372,36,1970,30,6,lay down candles   rain,ENGLISH
68,my baby loves lovin’,White Plains,2:47,4,0.644,0.651,10,-10.871,1,0.0294,0.361,0.0,0.192,0.871,125.844,36,1970,20,4, baby loves lovin’,ENGLISH
69,"julie, do ya love me",Bobby Sherman,2:52,4,0.425,0.41,9,-15.881,1,0.0341,0.507,2.18e-06,0.3,0.664,82.177,35,1970,20,5,"julie, do ya love ",ENGLISH
70,which way you goin’ billy?,The Poppy Family,3:23,4,0.508,0.67,1,-10.834,1,0.0346,0.416,0.0575,0.0868,0.646,93.406,35,1970,26,5,which way you goin’ billy?,ENGLISH
71,psychedelic shack,The Temptations,3:50,4,0.663,0.822,5,-13.119,0,0.059,0.199,8.69e-06,0.0626,0.818,108.94,34,1970,17,2,psychedelic shack,ENGLISH
72,indiana wants me,R. Dean Taylor,3:35,4,0.532,0.834,8,-3.87,1,0.0404,0.0614,0.00192,0.314,0.706,88.69,32,1970,16,3,indiana wants ,ENGLISH
73,"signed, sealed, delivered i’m yours",Stevie Wonder,3:54,4,0.661,0.813,9,-6.898,1,0.0299,0.0138,0.311,0.324,0.44,109.872,32,1970,35,5,"signed, sealed, delivered  yours",ENGLISH
74,(i know) i’m losing you,Rare Earth,3:56,4,0.779,0.712,7,-7.246,0,0.0362,0.0359,0.00993,0.12,0.65,120.009,31,1970,23,5, know  losing you,ENGLISH
75,love or let me be lonely,The Friends of Distinction,3:23,4,0.565,0.564,9,-12.923,1,0.0274,0.371,0.0,0.197,0.775,95.465,31,1970,24,6,love or let   lonely,ENGLISH
76,gimme dat ding,The Pipkins,2:14,4,0.649,0.741,7,-9.469,1,0.0414,0.598,2.15e-06,0.0295,0.918,96.791,31,1970,14,3,gimme dat ding,ENGLISH
77,ain’t no mountain high enough,Diana Ross,3:26,4,0.207,0.202,11,-16.461,0,0.0383,0.861,0.0517,0.078,0.0791,89.116,30,1970,29,5, no mountain high enough,ENGLISH
78,without love (there is nothing),Tom Jones,2:53,4,0.269,0.252,2,-15.729,1,0.0325,0.752,0.302,0.19,0.599,113.922,28,1970,31,5,without love there  nothing,ENGLISH
79,someday we’ll be together,Diana Ross & the Supremes,3:15,4,0.618,0.363,4,-12.986,1,0.0319,0.0323,0.357,0.104,0.113,117.978,27,1970,25,4,someday   together,ENGLISH
80,eli’s coming,Three Dog Night,2:41,4,0.33,0.771,9,-7.059,0,0.102,0.398,0.00283,0.198,0.44,167.128,27,1970,12,2,eli’s coming,ENGLISH
