,Artista,Nombre,Nacionality,Checked,Commentary
430,Brick,Scott Brick,US,False, mal el nombre
432,William Bell,William Dufris,US,False, mal el nombre
436,Marilyn McCoo & Billy Davis Jr.,Marilyn McCoo,US,False, ft. ambos de US
437,Alan O’Day,Anita O’Day,US,False, mal el nombre
438,Kenny Nolan,Kenny Rogers,US,False, mal el nombre
439,Paul Nicholas,Paul McCartney,GB,False, mal el nombre
440,David Soul,David Bowie,US,False, mal el nombre
449,Rick James,James Brown,US,False, mal el nombre
453,John Paul Young,Paul Young,AU,False, mal el nombre
456,David Gates,David Bowie,US,False, mal el nombre
458,Michael Johnson,Michael Jackson,US,False, mal el nombre
459,the Who,The Who,GB,False, lo mismo
460,Dan Hill,Dan Brown,CA,False, mal el nombre
462,Peter Brown,James Brown,US,False, mal el nombre
464,John Travolta & Olivia Newton-John,Olivia Newton‐John,AU,False, ft. JT -> US y ON -> AU
467,Paul Davis,Miles Davis,US,False, mal el nombre
469,Exile,EXILE,US,False, mal el nombre
472,Kenny Loggins & Stevie Nicks,Stevie Nicks,US,False, ft. ambos de US
473,Jay Ferguson,Maynard Ferguson,US,False, mal el nombre
476,Bob Welch,Bob Dylan,US,False, mal el nombre
480,L.T.D.,Public Image Ltd,US,False, mal el nombre
482,Johnny Mathis & Deniece Williams,Johnny Mathis,US,False, ft. ambos de US
487,Suzi Quatro & Chris Norman,Suzi Quatro,US,False, SQ -> US y CN -> GB
489,Kiss,KISS,US,False, lo mismo (correcto el segundo)
491,John Stewart,John Williams,US,False, mal el nombre
492,"Earth, Wind & Fire & The Emotions","Earth, Wind & Fire",US,False, ft. ambos de US
494,Donna Summer and Brooklyn Dreams,Donna Summer,US,False, ft. ambos de US
495,KC & the Sunshine Band,KC and the Sunshine Band,US,False, lo mismo
497,Patrick Hernandez,Patrick Rothfuss,FR,False, mal el nombre
498,Ian Matthews,Dave Matthews Band,GB,False, mal el nombre
500,The Knack,The Beatles,US,False, mal el nombre
516,M,Boney M.,GB,False, mal el nombre
517,Neil Diamond & Barbra Streisand,Barbra Streisand,US,False, ft. ambos de US
519,David Naughton,David Bowie,US,False, mal el nombre
520,Rex Smith,T. Rex,US,False, mal el nombre
521,Frank Mills,Frank Sinatra,CA,False, mal el nombre
522,Bonnie Pointer,Bonnie Tyler,US,False, mal el nombre
